Epic,TaskID,TaskName,Phase,DependsOn,Acceptance,EstDays,Role,Ref
E5 盘后日频ETL,T5.5,日频 pipeline 装配,P1,T5.3;T5.4;T7.2;T7.3,指数→股指期货→股指期权 日频端到端跑通一交易日,2,DATA,§7.3
E6 盘后分钟频ETL,T6.1,分钟频抽取与大批量处理,P2,T5.1,分钟频分片/内存优化拉取；单日全市场可控内存完成,3,DATA,§7.2
E6 盘后分钟频ETL,T6.2,分钟频幂等写入,P2,T5.4;T2.3,hypertable 批量写；压缩前后查询正确；重跑一致,3,BE,§6.4
E6 盘后分钟频ETL,T6.3,连续聚合配置与刷新,P2,T6.2;T2.4,分钟→日频聚合上线(含交易日对齐方案)；刷新可调度,3,DBA,§6.4
E6 盘后分钟频ETL,T6.4,分钟频质量校验,P2,T5.3;T6.1,缺 bar 检测对照交易日历应有分钟数；停牌/半日市处理,2,DATA,§7.3
E6 盘后分钟频ETL,T6.5,分钟频 pipeline 装配,P2,T6.2;T6.4;T7.4,三品种分钟频端到端跑通一交易日,2,DATA,§7.3
E7 品种插件,T7.1,品种插件框架,P1,T1.1,插件注入(字段集/清洗/校验/特有逻辑)接口与注册机制,3,BE,§7.1
E7 品种插件,T7.2,指数插件,P1,T7.1,指数字段集与校验规则,1,DATA,§6.4
E7 品种插件,T7.3,股指期货插件,P1,T7.1,主力连续拼接、结算价、持仓量逻辑+校验,3,DATA,§5.3
E7 品种插件,T7.4,股指期权插件,P2,T7.1,希腊字母/IV、行权要素、合约要素校验,2,DATA,§6.4
E8 Parquet派生层与DuckDB,T8.1,Parquet 导出器,P1,T5.4,Hive 分区布局导出；分区幂等覆盖；schema 稳定,3,DATA,§6.8
E8 Parquet派生层与DuckDB,T8.2,DuckDB 读取封装,P1,T8.1,read_parquet + ATTACH postgres 两种读法；复权计算一致,2,BE,§6.8
E8 Parquet派生层与DuckDB,T8.3,派生层重建工具,P2,T8.1,从 PG 全量/增量重建 Parquet；可指定 trading_day,2,DATA,§12.3
E9 调度与编排,T9.1,调度器(交易日历驱动),P1,T3.5;T1.4,APScheduler 按交易日触发；非交易日跳过,2,BE,§7.2
E9 调度与编排,T9.2,任务编排与依赖,P1,T9.1;T5.5,元数据→日频→分钟频→衍生→导出 顺序编排；失败隔离,2,BE,§7.3
E9 调度与编排,T9.3,ETL 运行记录与补数重跑,P1,T9.2;T2.6,写 etl_job_run；按 trading_day 安全重跑补数,3,BE,§7.3
E9 调度与编排,T9.4,失败重试与告警联动,P2,T9.3;T12.2,重试策略；失败/partial 触发推送,2,BE,§11.2
E10 实时数据链路,T10.1,insight 实时接入,P3,T3.3,回调归一化(symbol_map/时区/trading_day)→写 Redis Stream,3,DATA,§9.1
E10 实时数据链路,T10.2,Redis Streams 分发总线,P3,T10.1;T1.5,按 topic 分流；MAXLEN 控量；消费组与 XACK,3,BE,§9.2
E10 实时数据链路,T10.3,落地 consumer,P3,T10.2;T2.5,批量写 tick_buffer；背压与队列上限；过载丢可重建批并告警,3,BE,§9.2
E10 实时数据链路,T10.4,断点续传与恢复,P3,T10.2;T10.3,last-id 续读 + tick_buffer 补缺 + 盘后修正；演练通过,3,BE,§9.2
E11 数据服务API与SDK,T11.1,查询内核 query-core,P3,T5.4,SQL 构造/参数校验/复权/分页；三形态共用；单测覆盖,3,BE,§10.1
E11 数据服务API与SDK,T11.2,REST 历史接口,P4,T11.1,bars/instruments/calendar/options-greeks；OpenAPI 文档,3,BE,§10.2
E11 数据服务API与SDK,T11.3,WebSocket/SSE 实时订阅,P3,T11.1;T10.2,sub/unsub；从 Redis 推送；10 以内长连接稳定,3,BE,§10.2
E11 数据服务API与SDK,T11.4,鉴权与限流,P4,T11.2;T2.6,API Key 哈希校验、scopes、每键限频；审计可选,2,BE,§10.3
E11 数据服务API与SDK,T11.5,Python client SDK,P4,T11.2;T11.3,import getrich; bars()/subscribe() 走 API+last-id 续传,3,BE,§10.2
E11 数据服务API与SDK,T11.6,PgBouncer 接入与并发压测,P4,T11.2;T1.6,transaction pooling 接入；数百用户历史查询压测达标,2,OPS,§10.3
E12 监控告警与运维,T12.1,心跳监控,P4,T1.4,实时接入/ETL/API 心跳；超时判定,2,BE,§11.2
E12 监控告警与运维,T12.2,企微/飞书推送通道,P4,T1.4,统一 notify 接口；分级、限频合并；企微/飞书可切换,2,BE,§11.3
E12 监控告警与运维,T12.3,监控指标与阈值,P4,T12.1,磁盘水位/Stream 积压/连接数/数据质量 指标与告警阈值,2,OPS,§11.2
E12 监控告警与运维,T12.4,备份与恢复,P4,T2.7,PG 物理/逻辑备份+WAL 归档+Parquet 冷备；恢复演练,2,OPS,§12.2
E12 监控告警与运维,T12.5,生产部署与容量规划,P4,T11.6;T12.4,生产 compose/只读副本上线；容量规划文档与水位告警,3,OPS,§12.1
E13 测试与验收,T13.1,单元测试,横切,T5.4,幂等/校验规则/聚合/日历归属 单测覆盖率达标,3,QA,§14
E13 测试与验收,T13.2,数据一致性测试,横切,T6.3;T8.2,分钟聚合=日频；复权一致；RQData↔insight 对账,3,QA,§13
E13 测试与验收,T13.3,集成与端到端测试,横切,T9.2;T10.4,盘后全链路 + 实时断联恢复演练通过,3,QA,§9
E13 测试与验收,T13.4,性能基准,横切,T6.2;T11.6,分钟频查询 P95、压缩比、并发 基准报告(作 ClickHouse 迁移判据),3,QA,§13.2
